"ITTER107","Territory","VARICT","Data type","ATECO_2007","NACE 2007","CLLVT","Size classes of persons employed","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","E_CC_PEM_PERC","e-mail","53","postal and courier activities","W_GE10","10 and over","2016","2016",12.69,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","53","postal and courier activities","W_GE10","10 and over","2018","2018",3.23,,
"IT","Italy","E_CC_PEM_PERC","e-mail","53","postal and courier activities","W_GE10","10 and over","2020","2020",59.33,,
"IT","Italy","E_CC_PEM_PERC","e-mail","55","accommodation ","W_GE10","10 and over","2014","2014",39.1,,
"IT","Italy","E_CC_PEM_PERC","e-mail","55","accommodation ","W_GE10","10 and over","2016","2016",23.08,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","55","accommodation ","W_GE10","10 and over","2018","2018",21.04,,
"IT","Italy","E_CC_PEM_PERC","e-mail","55","accommodation ","W_GE10","10 and over","2020","2020",60.29,,
"IT","Italy","E_CC_PEM_PERC","e-mail","56","food service activities","W_GE10","10 and over","2014","2014",25.26,,
"IT","Italy","E_CC_PEM_PERC","e-mail","56","food service activities","W_GE10","10 and over","2016","2016",7.05,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","56","food service activities","W_GE10","10 and over","2018","2018",5.26,,
"IT","Italy","E_CC_PEM_PERC","e-mail","56","food service activities","W_GE10","10 and over","2020","2020",49.55,,
"IT","Italy","E_CC_PEM_PERC","e-mail","58","publishing activities","W_GE10","10 and over","2014","2014",41.58,,
"IT","Italy","E_CC_PEM_PERC","e-mail","58","publishing activities","W_GE10","10 and over","2016","2016",38.14,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","58","publishing activities","W_GE10","10 and over","2018","2018",44.95,,
"IT","Italy","E_CC_PEM_PERC","e-mail","58","publishing activities","W_GE10","10 and over","2020","2020",84.09,,
"IT","Italy","E_CC_PEM_PERC","e-mail","61","telecommunications","W_GE10","10 and over","2014","2014",33.6,,
"IT","Italy","E_CC_PEM_PERC","e-mail","61","telecommunications","W_GE10","10 and over","2016","2016",35.9,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","61","telecommunications","W_GE10","10 and over","2018","2018",41.08,,
"IT","Italy","E_CC_PEM_PERC","e-mail","61","telecommunications","W_GE10","10 and over","2020","2020",70.42,,
"IT","Italy","E_CC_PEM_PERC","e-mail","68","real estate activities","W_GE10","10 and over","2014","2014",29.61,,
"IT","Italy","E_CC_PEM_PERC","e-mail","68","real estate activities","W_GE10","10 and over","2016","2016",20.42,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","68","real estate activities","W_GE10","10 and over","2018","2018",26.72,,
"IT","Italy","E_CC_PEM_PERC","e-mail","68","real estate activities","W_GE10","10 and over","2020","2020",59.55,,
"IT","Italy","E_CC_PEM_PERC","e-mail","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2014","2014",47.34,,
"IT","Italy","E_CC_PEM_PERC","e-mail","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2016","2016",38.47,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2018","2018",39.36,,
"IT","Italy","E_CC_PEM_PERC","e-mail","79","travel agency, tour operator and other reservation service and related activities","W_GE10","10 and over","2020","2020",61.38,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2014","2014",32.14,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2016","2016",21.51,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2018","2018",23.47,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CD-CG","manufacture of coke and refined petroleum products, of chemicals and chemical products, of basic pharmaceutical products and preparations, of rubber, plastic and of other non-metallic mineral products","W_GE10","10 and over","2020","2020",51.74,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2014","2014",33.84,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2016","2016",20.12,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2018","2018",22.02,,
"IT","Italy","E_CC_PEM_PERC","e-mail","CJ-CK","manufacture of electrical equipment and of machinery and equipment n.e.c. ","W_GE10","10 and over","2020","2020",59.44,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2014","2014",28.43,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2016","2016",38.12,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2018","2018",27.41,,
"IT","Italy","E_CC_PEM_PERC","e-mail","JA_X_58","motion picture, video and television programme production, sound recording","W_GE10","10 and over","2020","2020",73.75,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2014","2014",41,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2016","2016",20.88,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2018","2018",35.39,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0031","professional, scientific and technical activities except veterinary activities","W_GE10","10 and over","2020","2020",71.62,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2014","2014",36.46,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2016","2016",20.01,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2018","2018",20.35,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0032","administrative and support service activities except travel agency, tour operator and other reservation service and related activities (N escluso 79)","W_GE10","10 and over","2020","2020",52.19,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0033","ict sector","W_GE10","10 and over","2014","2014",42.05,,
"IT","Italy","E_CC_PEM_PERC","e-mail","0033","ict sector","W_GE10","10 and over","2016","2016",38.48,"b","break in series"
"IT","Italy","E_CC_PEM_PERC","e-mail","0033","ict sector","W_GE10","10 and over","2018","2018",45.51,,
